study,endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT
Matsuo 2014,VO2max,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,8.6,5.4
Matsuo 2015,Body Fat,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-0.6,-0.4
Matsuo 2015,Body Mass,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-0.9,-0.9
Matsuo 2015,Diastolic Blood Pressure,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-2,1
Matsuo 2015,Fasting Glucose,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-3,-8
Matsuo 2015,Fasting Insulin,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-2.6,-2.5
Matsuo 2015,HbA1c,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-1,-2
Matsuo 2015,HDL,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,3,3
Matsuo 2015,HOMA-IR,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-1,-1.2
Matsuo 2015,LDL,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,5,0
Matsuo 2015,Systolic Blood Pressure,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,1,2
Matsuo 2015,Total Cholesterol,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,2,4
Matsuo 2015,Triglycerides,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-28,-2
Matsuo 2015,VO2max,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,7,4.4
Mitranun 2014,BMI,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-1.1,-0.2
Mitranun 2014,Body Fat,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-2.2,-2.6
Mitranun 2014,Body Mass,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-2.1,-0.5
Mitranun 2014,Diastolic Blood Pressure,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,2,0
Mitranun 2014,Fasting Glucose,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-1.05,-0.99
Mitranun 2014,Flow-mediated Dilation,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,2,1.3
Mitranun 2014,HDL,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,0.31,0.08
Mitranun 2014,HOMA-IR,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.6,-0.5
Mitranun 2014,LDL,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.73,-0.57
Mitranun 2014,Systolic Blood Pressure,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-12,-5
Mitranun 2014,Total Cholesterol,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.49,-0.1
Mitranun 2014,Triglycerides,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.2,-0.06
Mitranun 2014,VO2max,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,6.1,3.3
Molmen-Hansen 2011,Diastolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,-8.5,-4
Molmen-Hansen 2011,Flow-mediated Dilation,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,4.17,0.61
Molmen-Hansen 2011,Systolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,-13,-5
Molmen-Hansen 2011,VO2max,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,5.2,1.8
Moreira 2008,BMI,Overweight/obese,30 - 50 y,12,> 10 weeks,0.36,< 0.5,Cycling,-0.4,-0.4
Moreira 2008,Body Fat,Overweight/obese,30 - 50 y,12,> 10 weeks,0.36,< 0.5,Cycling,-0.6,-0.9
Moreira 2008,Body Mass,Overweight/obese,30 - 50 y,12,> 10 weeks,0.36,< 0.5,Cycling,-1.2,-1.3
Motiani 2017,BMI,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,0
Motiani 2017,Body Fat,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1,-0.8
Motiani 2017,Fasting Glucose,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.1,-0.1
Motiani 2017,Fasting Insulin,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.4,0.2
Motiani 2017,HbA1c,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1.3,-3.1
Motiani 2017,HDL,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.1
Motiani 2017,LDL,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.6,-0.2
Motiani 2017,Total Cholesterol,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.7,-0.3
Motiani 2017,Triglycerides,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.05,-0.16
Motiani 2017,VO2max,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,2,1
Nalcakan 2014,BMI,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-0.2,-0.3
Nalcakan 2014,Body Fat,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-1.2,-0.9
Nalcakan 2014,Body Mass,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-0.5,-0.9
Nalcakan 2014,C-reactive Protein,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,0.32,-1.15
Nalcakan 2014,HDL,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,1.5,-0.7
Nalcakan 2014,LDL,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,7,0.8
Nalcakan 2014,Total Cholesterol,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-2,2
Nalcakan 2014,Triglycerides,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-7,7
Nalcakan 2014,VO2max,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,2.8,3.5
Nie 2017,BMI,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-1.5,-1.7
Nie 2017,Body Fat,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-1.9,-1.7
Nie 2017,Body Mass,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-3.9,-4.2
Nie 2017,VO2max,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,4.1,3.8
O’Leary 2018,VO2max,Healthy,< 30 y,6,5 - 10 weeks,0.8,> 0.5,Cycling,0.28,0.29
Ramos 2016a,Body Fat,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-0.5,-0.4
Ramos 2016a,Body Mass,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-1,-1
Ramos 2016a,Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-4,-5
Ramos 2016a,Fasting Glucose,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,0.1,-0.4
Ramos 2016a,Fasting Insulin,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-15,-25
Ramos 2016a,HbA1c,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,0.2,-1.2
Ramos 2016a,HDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,0.08,0.08
Ramos 2016a,HOMA-IR,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-0.3,-0.5
Ramos 2016a,Systolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-2,-7
Ramos 2016a,Triglycerides,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-0.13,-0.11
Ramos 2016a,VO2max,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,3.6,0.8
Ramos 2016b,BMI,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-1,0
Ramos 2016b,Body Fat,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-1.02,-0.42
Ramos 2016b,Body Mass,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-3,0
Ramos 2016b,Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-9,-6
Ramos 2016b,Fasting Glucose,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-0.17,-0.37
Ramos 2016b,HDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,0,0.03
Ramos 2016b,LDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,0.41,0.06
Ramos 2016b,Systolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-1,-9
Ramos 2016b,Total Cholesterol,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,0.42,0
Ramos 2016b,Triglycerides,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-0.16,-0.02
Ramos 2016b,VO2max,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,4.35,0.8
Robinson 2015,BMI,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,-0.3,-0.1
Robinson 2015,Body Mass,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,-0.7,-1.4
Robinson 2015,Fasting Glucose,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,0.1,-0.3
Robinson 2015,Fasting Insulin,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,-0.6,0.8
Robinson 2015,HOMA-IR,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,0,0.1
Robinson 2015,VO2max,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,1.5,1.5
Rognmo 2004,Body Mass,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,-0.1,-0.8
Rognmo 2004,Diastolic Blood Pressure,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,1,0
Rognmo 2004,Systolic Blood Pressure,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,-3,-1
Rognmo 2004,VO2max,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,6,2.7
Sandvei 2012,BMI,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.2,-0.1
Sandvei 2012,Body Fat,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.2,-0.5
Sandvei 2012,Body Mass,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.4,-0.6
Sandvei 2012,Fasting Glucose,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.2,-0.2
Sandvei 2012,Fasting Insulin,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,0.3,-4.1
Sandvei 2012,HDL,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,0,-0.1
Sandvei 2012,HOMA-IR,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,0,-0.1
Sandvei 2012,LDL,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.3,0
Sandvei 2012,Total Cholesterol,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.3,-0.1
Sandvei 2012,Triglycerides,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.07,0.07
Sandvei 2012,VO2max,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,2.6,1.8
Sawyer 2016,BMI,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,0,0
Sawyer 2016,Body Fat,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-0.8,-0.3
Sawyer 2016,Body Mass,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-0.1,0
Sawyer 2016,C-reactive Protein,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,0.5,0.4
Sawyer 2016,Fasting Glucose,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-3,2.4
Sawyer 2016,Fasting Insulin,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-2.2,-2.3
Sawyer 2016,Flow-mediated Dilation,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,3.8,-0.4
Sawyer 2016,HDL,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,1,-0.7
Sawyer 2016,HOMA-IR,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-0.6,-0.5
Sawyer 2016,LDL,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,4.9,2.6
Sawyer 2016,Total Cholesterol,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,5,4.8
Sawyer 2016,Triglycerides,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-3.2,23.6
Sawyer 2016,VO2max,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,4.1,3.1
Scribbans 2014,Body Mass,Healthy,< 30 y,6,5 - 10 weeks,0.7,> 0.5,Cycling,0,0
Scribbans 2014,VO2max,Healthy,< 30 y,6,5 - 10 weeks,0.7,> 0.5,Cycling,6.6,7
Shepherd 2013,BMI,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0,0
Shepherd 2013,Body Mass,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0.1,0
Shepherd 2013,VO2max,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,3.2,6.5
Sjöros 2018,BMI,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-0.2,-0.2
Sjöros 2018,Body Fat,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-1,-0.9
Sjöros 2018,Body Mass,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-0.5,-0.4
Sjöros 2018,Fasting Glucose,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-0.1,0.2
Sjöros 2018,Fasting Insulin,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,0.1,0.3
Sjöros 2018,HbA1c,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-1.8,-2
Sjöros 2018,VO2max,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,1.3,-0.1
Skleryk 2013,BMI,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0,0
Skleryk 2013,Body Fat,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1.1,0.1
Skleryk 2013,Diastolic Blood Pressure,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-3,-1
Skleryk 2013,Fasting Glucose,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0.16,-0.34
Skleryk 2013,Fasting Insulin,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0.24,0.21
Skleryk 2013,HOMA-IR,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0.15,-0.12
Skleryk 2013,Systolic Blood Pressure,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1,0
Skleryk 2013,VO2max,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.4,0
Tjønna 2008,BMI,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-0.7,-1.2
Tjønna 2008,Body Mass,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-2.3,-3.6
Tjønna 2008,Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-6,-6
Tjønna 2008,Fasting Glucose,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-0.3,0.4
Tjønna 2008,Fasting Insulin,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,2,1.3
Tjønna 2008,Flow-mediated Dilation,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,10.32,5.81
Tjønna 2008,HDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,0.15,0.06
Tjønna 2008,Systolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-9,-10
Tjønna 2008,Triglycerides,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,0.05,0.2
Tjønna 2008,VO2max,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,11.7,5.6
Trapp 2008,Body Fat,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-2.7,0.6
Trapp 2008,Body Mass,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-1.5,-0.1
Trapp 2008,Fasting Glucose,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-0.2,-0.1
Trapp 2008,Fasting Insulin,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-6,-1
Trapp 2008,HOMA-IR,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-1.2,-0.3
Trapp 2008,VO2max,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,7.6,6
Wegmann 2018,Diastolic Blood Pressure,Healthy,30 - 50 y,24,> 10 weeks,0.37,< 0.5,Running,-2,-1
Wegmann 2018,Systolic Blood Pressure,Healthy,30 - 50 y,24,> 10 weeks,0.37,< 0.5,Running,1,4
Winn 2018,BMI,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-0.1,-0.3
Winn 2018,Body Fat,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,0.4,-0.1
Winn 2018,Body Mass,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-0.3,-1
Winn 2018,Fasting Glucose,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-3,-21.4
Winn 2018,Fasting Insulin,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,0.5,-7.5
Winn 2018,HDL,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,3.4,-1.4
Winn 2018,HOMA-IR,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,0.02,-3.3
Winn 2018,LDL,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-10.7,-0.5
Winn 2018,Total Cholesterol,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-3,-2.4
Winn 2018,Triglycerides,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,22.1,-2.6
Winn 2018,VO2max,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-0.2,0.1
Wisløff 2007,VO2max,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.22,< 0.5,Running,6,1.9
Zapata-Lamana 2018,Body Mass,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-0.4,-1.9
Zapata-Lamana 2018,Fasting Glucose,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-3.3,-4.1
Zapata-Lamana 2018,Fasting Insulin,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-0.9,-2
Zapata-Lamana 2018,HDL,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-3.9,-1
Zapata-Lamana 2018,LDL,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-7.2,-9.4
Zapata-Lamana 2018,Total Cholesterol,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-7.6,-7.9
Zapata-Lamana 2018,Triglycerides,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,4,-5.6
