endpoint,population,age,duration,type_exercise,Mean_HIIE,Mean_MICT,desired_effect
Body Mass,Overweight/obese,23.3,12,Cycling,-0.4,-1.9,decrease
Fasting Glucose,Overweight/obese,23.3,12,Cycling,-3.3,-4.1,decrease
Fasting Insulin,Overweight/obese,23.3,12,Cycling,-0.9,-2,decrease
HDL,Overweight/obese,23.3,12,Cycling,-3.9,-1,increase
LDL,Overweight/obese,23.3,12,Cycling,-7.2,-9.4,decrease
Total Cholesterol,Overweight/obese,23.3,12,Cycling,-7.6,-7.9,decrease
Triglycerides,Overweight/obese,23.3,12,Cycling,4,-5.6,decrease
VO2max,Metabolic Syndrome,10.8853215,24,Cycling,-7.2027541,8.47404582,increase
Triglycerides,Overweight/obese,33.9599789,10,Cycling,8.01112113,1.15508841,increase
Body Mass,Healthy,69.2588504,7.5,Cycling,-4.7720639,-15.223203,decrease
BMI,Overweight/obese,35.9901039,7.5,Cycling,-5.2618465,-11.890494,decrease
Triglycerides,Healthy,53.0183435,7,Cycling,-0.719551,-12.432983,decrease
Body Fat,Healthy,40.3115518,5,Running,10.4653379,-0.9023179,decrease
HDL,Overweight/obese,38.9512248,7.5,Cycling,1.502774,-5.7517457,decrease
HDL,Cardiac Rehabilitation,22.8051302,6,Running,-1.453451,0.21791516,decrease
HbA1c,Metabolic Syndrome,43.5351713,12,Cycling,3.6408844,-3.8978471,increase
BMI,Overweight/obese,39.2440434,16,Running,-7.9879967,4.46214072,decrease
BMI,Overweight/obese,50.8633866,15,Running,-9.6873203,-6.7200875,decrease
Diastolic Blood Pressure,T2D,24.6581936,10,Running,2.85734658,-2.63166,increase
Triglycerides,Metabolic Syndrome,34.8708368,7.5,Running,-4.516286,2.37263234,decrease
Fasting Glucose,Overweight/obese,43.0450721,15,Running,-18.755134,-5.5131781,increase
HOMA-IR,T2D,21.9143836,12,Running,7.49909032,0.31822474,decrease
Body Fat,Overweight/obese,17.1157067,12,Cycling,-7.2072582,-9.9434644,increase
LDL,Overweight/obese,48.9239824,7,Running,-6.1051547,6.19709618,increase
C-reactive Protein,Overweight/obese,52.3076155,4,Cycling,-4.3952362,-12.383085,increase
Flow-mediated Dilation,T2D,33.2204707,10,Cycling,10.1230501,-5.0272439,increase
Diastolic Blood Pressure,Metabolic Syndrome,26.4650075,7,Cycling,-9.5884383,7.74161773,increase
HbA1c,T2D,40.0330551,24,Cycling,-2.1032039,1.42522129,decrease
HbA1c,Cardiac Rehabilitation,36.2608543,5,Running,0.79837561,-10.367295,increase
Fasting Insulin,T2D,67.0395335,10,Cycling,4.08048483,1.56283595,increase
Body Fat,Overweight/obese,75.1977373,4,Running,12.9789342,-1.0952794,decrease
Fasting Glucose,T2D,40.2545856,7.5,Cycling,-1.2997864,-0.0907435,decrease
Fasting Insulin,Healthy,53.9096609,5,Cycling,-4.2911029,-7.688579,decrease
Flow-mediated Dilation,Healthy,47.6853613,2,Cycling,0.65775776,-10.283137,increase
Total Cholesterol,Metabolic Syndrome,61.04056,12,Cycling,6.34476505,0.03261552,decrease
HbA1c,Metabolic Syndrome,47.4283813,24,Running,-10.301073,2.22602107,increase
Body Fat,Cardiac Rehabilitation,24.7664601,7,Running,-2.1723099,6.09906927,decrease
HDL,Healthy,46.4031949,6,Cycling,-3.2361087,-3.6507,decrease
Fasting Glucose,Cardiac Rehabilitation,55.7738232,5,Cycling,-5.0416813,-2.3056906,increase
Systolic Blood Pressure,Healthy,55.5897729,12,Cycling,-0.7401157,-0.1121276,increase
HDL,Cardiac Rehabilitation,50.9097121,5,Cycling,5.52407727,1.25059301,increase
Fasting Insulin,T2D,59.1014851,10,Running,0.902414,-4.7053894,increase
HOMA-IR,Healthy,37.4946082,8,Running,7.64757214,5.52900907,increase
Systolic Blood Pressure,Healthy,38.917594,7,Running,-10.079701,-7.1076329,decrease
C-reactive Protein,Cardiac Rehabilitation,47.762614,15,Running,-12.258981,3.63284256,increase
Systolic Blood Pressure,Overweight/obese,48.0339712,10,Cycling,-0.1061335,4.13640785,increase
Body Mass,Overweight/obese,25.0892803,16,Cycling,-4.555916,5.37470757,decrease
BMI,Healthy,49.5430567,16,Running,-0.7170578,-0.1627293,increase
Flow-mediated Dilation,Overweight/obese,57.0788947,5,Running,1.23373929,-4.513191,decrease
Flow-mediated Dilation,Healthy,26.6790104,7.5,Running,-4.6835534,11.9582767,decrease
VO2max,Cardiac Rehabilitation,22.7983742,6,Running,-8.9987602,0.05615982,decrease
Fasting Insulin,Cardiac Rehabilitation,46.7296281,6,Cycling,-2.2408589,2.07820301,decrease
Systolic Blood Pressure,Healthy,45.2493575,2,Cycling,0.77566195,0.80216035,increase
Body Fat,Overweight/obese,39.9456192,7.5,Running,-0.9037658,-4.4449887,increase
Body Mass,Healthy,44.5799871,12,Cycling,1.21615168,5.4398827,increase
Systolic Blood Pressure,Overweight/obese,60.0969348,6,Running,-8.7527283,-0.5307357,decrease
Body Mass,Overweight/obese,36.0535301,2,Cycling,-5.3517899,-9.1441136,decrease
Fasting Insulin,Overweight/obese,46.0728019,4,Cycling,-2.602323,13.8385987,decrease
BMI,Cardiac Rehabilitation,54.8265758,15,Running,-5.7915386,8.96450356,decrease
Triglycerides,Cardiac Rehabilitation,14.4979072,6,Cycling,-5.290115,-1.3484814,increase
Flow-mediated Dilation,T2D,33.9203086,2,Cycling,-10.214641,-1.5496248,decrease
Systolic Blood Pressure,Overweight/obese,48.1195921,7,Cycling,0.05747525,2.8553689,increase
Fasting Insulin,Healthy,63.5153514,2,Running,16.304375,6.27141958,increase
Fasting Glucose,Healthy,34.4020015,12,Cycling,4.87082985,-6.6990453,decrease
LDL,Healthy,52.111425,7,Running,-0.1197755,7.02329435,increase
Body Fat,Cardiac Rehabilitation,43.2203617,6,Running,7.97677273,8.43475208,decrease
Fasting Insulin,Metabolic Syndrome,28.0863793,15,Running,2.47897965,1.98982353,decrease
Flow-mediated Dilation,Cardiac Rehabilitation,54.4878422,2,Running,4.58020978,-4.0229463,increase
HbA1c,Overweight/obese,8.46093736,5,Cycling,3.46129751,-4.1496092,decrease
Systolic Blood Pressure,Metabolic Syndrome,26.0923311,7,Running,4.62646833,-9.6015408,decrease
HbA1c,Overweight/obese,8.09764344,24,Running,3.85789402,-6.2061418,increase
HOMA-IR,Overweight/obese,15.3064602,24,Running,-2.0718103,-9.4024598,increase
HbA1c,Healthy,47.6191497,2,Cycling,0.33860497,1.45798429,decrease
BMI,Cardiac Rehabilitation,50.6310084,24,Cycling,6.02347474,-6.6663978,increase
Systolic Blood Pressure,T2D,62.22509,7,Cycling,1.80339547,-2.1281729,increase
Systolic Blood Pressure,T2D,39.3338229,10,Cycling,5.84140673,5.01929421,increase
Body Mass,Metabolic Syndrome,33.1712612,12,Running,1.18591244,-7.6967907,increase
Fasting Glucose,Metabolic Syndrome,64.6343129,24,Cycling,-1.8872484,2.86729018,decrease
Fasting Glucose,Healthy,57.7943296,6,Cycling,-2.0387987,5.80863073,decrease
Total Cholesterol,T2D,31.1826202,7,Running,0.55822526,-4.7164839,decrease
HDL,Cardiac Rehabilitation,54.4566,24,Cycling,9.83097884,0.3839302,decrease
C-reactive Protein,Cardiac Rehabilitation,38.5134486,8,Cycling,1.80676466,-5.756319,decrease
Fasting Glucose,Metabolic Syndrome,57.2658057,8,Running,1.97740592,-1.9428379,decrease
Flow-mediated Dilation,Overweight/obese,58.337752,10,Cycling,0.41142422,0.15198218,decrease
HbA1c,Overweight/obese,50.5504295,24,Cycling,-2.9231024,-8.8683371,increase
LDL,Cardiac Rehabilitation,43.3107103,12,Cycling,-0.9416316,-1.9508951,increase
LDL,T2D,44.8029495,8,Running,6.30694292,-8.8239604,decrease
Body Mass,T2D,53.9433383,2,Running,-8.2091852,5.64802028,increase
LDL,Overweight/obese,21.7038473,12,Running,-6.2447091,8.03593244,decrease
Flow-mediated Dilation,Overweight/obese,39.55491,12,Cycling,9.0549722,1.35919722,increase
Fasting Glucose,Cardiac Rehabilitation,66.2971514,7,Cycling,-5.125865,-0.5898826,decrease
Total Cholesterol,Healthy,25.1778686,6,Running,-2.6859463,-4.9156273,increase
LDL,Metabolic Syndrome,45.0559573,12,Cycling,-3.398831,-4.4915275,increase
BMI,T2D,28.4941055,7.5,Running,5.88590533,7.28993528,decrease
Body Fat,T2D,6.77194219,7.5,Running,-4.8991826,-4.8981009,decrease
Systolic Blood Pressure,Overweight/obese,24.5904802,4,Running,4.31144319,-5.4132636,decrease
Total Cholesterol,Healthy,57.4738577,15,Cycling,-4.5867297,8.01832997,decrease
Triglycerides,Healthy,28.0534156,12,Cycling,-6.489257,1.63019944,decrease
Total Cholesterol,Overweight/obese,46.4844634,2,Cycling,2.8798636,7.71394506,decrease
Diastolic Blood Pressure,Healthy,52.0099663,5,Running,-1.8273838,4.11132376,increase
Diastolic Blood Pressure,Cardiac Rehabilitation,49.384624,7.5,Running,-10.561556,-1.747693,increase
Triglycerides,Healthy,67.1595649,15,Cycling,3.61440763,1.98476892,decrease
Fasting Glucose,Cardiac Rehabilitation,12.4747363,7.5,Running,-6.4296051,-0.5277558,increase
Fasting Insulin,Healthy,61.9485152,24,Running,-5.5675358,-0.4009207,increase
HbA1c,Overweight/obese,48.2192738,8,Cycling,5.91631741,0.05567226,decrease
Body Mass,T2D,28.558886,15,Cycling,-5.3016594,-3.5338472,increase
VO2max,Healthy,58.2521686,4,Cycling,-12.670131,1.50492424,increase
Triglycerides,Overweight/obese,23.9837863,12,Running,1.0447374,0.53232796,decrease
Total Cholesterol,Metabolic Syndrome,17.3583085,12,Running,-10.320651,-8.5478221,decrease
Systolic Blood Pressure,T2D,29.4870651,8,Cycling,-1.5474229,-5.5259621,increase
Body Fat,Overweight/obese,24.8445763,16,Running,-3.5566238,-2.1078532,decrease
Body Fat,Cardiac Rehabilitation,40.9699245,2,Running,-0.2975026,-1.5468586,decrease
HDL,T2D,34.8346472,2,Cycling,2.04101515,-1.9394718,increase
C-reactive Protein,Cardiac Rehabilitation,58.4510867,8,Cycling,-3.1434512,-2.3899851,increase
LDL,Metabolic Syndrome,42.8508714,24,Running,-7.6701668,-5.6895805,increase
Body Fat,Healthy,62.9135453,12,Cycling,-3.954141,-0.9296866,decrease
Systolic Blood Pressure,Metabolic Syndrome,78.1552288,12,Running,-4.8654911,6.21212001,decrease
Body Fat,Overweight/obese,36.3101993,10,Cycling,-8.0279834,4.82571283,increase
Body Mass,Healthy,63.6599633,8,Cycling,-4.3665907,-1.3078491,increase
Diastolic Blood Pressure,Metabolic Syndrome,34.9353965,7.5,Running,7.45513543,4.80143114,increase
Fasting Insulin,Metabolic Syndrome,57.6452392,5,Running,6.04399164,-6.540181,increase
C-reactive Protein,T2D,47.7489787,2,Cycling,-11.566809,-8.9935102,increase
Total Cholesterol,Metabolic Syndrome,58.6264302,8,Cycling,1.45290606,-1.2773284,decrease
HDL,Metabolic Syndrome,32.780586,16,Running,1.5029263,-1.7370413,decrease
BMI,Cardiac Rehabilitation,20.8307692,16,Running,4.70887396,5.84851454,decrease
BMI,T2D,62.1372378,2,Cycling,2.06481848,-9.2969825,decrease
C-reactive Protein,T2D,30.0417252,7,Running,3.27585772,-4.9942478,increase
Fasting Glucose,Cardiac Rehabilitation,48.6003761,4,Running,1.9776862,-1.8521319,increase
VO2max,T2D,51.2393302,15,Running,0.63705562,-0.067661,decrease
Fasting Glucose,Healthy,50.9132038,12,Running,2.37786539,-7.0438981,decrease
C-reactive Protein,Cardiac Rehabilitation,58.625652,24,Cycling,-5.4538225,-2.2241125,decrease
HOMA-IR,Healthy,28.3932959,8,Cycling,2.41899329,-11.004348,decrease
C-reactive Protein,Cardiac Rehabilitation,50.021529,4,Running,6.36280175,-10.438332,decrease
LDL,Metabolic Syndrome,57.5506143,7,Cycling,0.49964772,1.86511276,increase
Systolic Blood Pressure,Metabolic Syndrome,26.5388004,15,Cycling,-6.4849137,-0.964124,decrease
HOMA-IR,T2D,49.8281639,4,Cycling,-9.4853963,-2.8220403,increase
Fasting Glucose,Metabolic Syndrome,35.6707808,6,Cycling,-0.2816614,2.46337051,increase
C-reactive Protein,Metabolic Syndrome,67.0654084,10,Cycling,0.06660969,-5.2990945,increase
Body Fat,Cardiac Rehabilitation,46.9815842,16,Cycling,-11.63335,-8.5362526,increase
Fasting Glucose,Cardiac Rehabilitation,58.216218,7.5,Cycling,0.26422185,0.69591067,increase
HOMA-IR,Healthy,61.3272885,7.5,Running,-6.7092302,-0.0357771,decrease
BMI,T2D,48.7559527,24,Running,-3.2082785,-0.961492,decrease
Total Cholesterol,Healthy,28.9869029,2,Running,-0.6342084,1.72472657,increase
Systolic Blood Pressure,Cardiac Rehabilitation,50.8588135,5,Cycling,-0.51649,-0.4496862,increase
Body Fat,Cardiac Rehabilitation,42.7294065,7,Cycling,2.11670464,7.97025206,increase
Fasting Insulin,Healthy,37.7673471,2,Cycling,1.40243149,-9.6520985,decrease
C-reactive Protein,Healthy,32.7578575,7,Running,5.29311687,9.42696057,increase
VO2max,T2D,47.3220357,7,Cycling,8.68000675,1.47375054,increase
BMI,T2D,56.4095532,4,Cycling,-2.3902946,-3.2151619,decrease
Flow-mediated Dilation,T2D,76.170675,2,Cycling,-5.6587046,1.97498471,increase
Body Mass,Healthy,35.6936136,2,Cycling,-7.746779,9.42524057,increase
Body Mass,Cardiac Rehabilitation,46.0526715,2,Cycling,-0.2104742,-2.7643754,decrease
HDL,Cardiac Rehabilitation,49.9764931,7,Cycling,-3.9637699,-0.4281233,increase
Fasting Insulin,Metabolic Syndrome,50.0468129,8,Running,2.38765106,3.60643112,decrease
C-reactive Protein,T2D,42.185592,4,Cycling,-10.059397,-4.5379866,increase
Fasting Glucose,Metabolic Syndrome,41.6269582,7.5,Running,-7.4945326,6.41888558,decrease
Systolic Blood Pressure,Healthy,56.5029928,12,Cycling,3.11739973,6.75666233,decrease
VO2max,Healthy,48.6772567,6,Running,-0.363004,5.73367919,increase
Flow-mediated Dilation,T2D,61.505992,5,Running,-9.0532492,-1.1593406,increase
C-reactive Protein,T2D,46.2226654,6,Cycling,-0.7645885,6.32504621,decrease
Body Fat,Metabolic Syndrome,62.0100424,7,Cycling,4.00112874,-1.3845113,increase
C-reactive Protein,Healthy,33.1104955,8,Cycling,-7.1786917,-5.0898158,increase
Triglycerides,T2D,36.9761525,6,Running,-2.9404085,-0.9064464,decrease
Body Fat,Healthy,38.0158681,5,Cycling,-2.3173707,-6.5077144,increase
Triglycerides,T2D,42.9704153,16,Running,-4.5048476,4.70074997,decrease
HbA1c,T2D,39.5576797,15,Running,2.67565762,-13.858629,increase
Systolic Blood Pressure,Overweight/obese,27.7547986,7,Cycling,-4.964805,0.82893352,decrease
LDL,Metabolic Syndrome,55.2331274,8,Running,1.2053343,-7.5730397,decrease
Systolic Blood Pressure,Healthy,40.6685009,7.5,Running,-7.33407,1.09756738,decrease
HOMA-IR,Metabolic Syndrome,20.843124,7.5,Cycling,3.11667502,-5.9103698,increase
Diastolic Blood Pressure,T2D,30.5618074,15,Cycling,1.09249614,1.40933696,decrease
Triglycerides,Cardiac Rehabilitation,56.6764035,7.5,Cycling,-1.6800779,-6.8924401,increase
HOMA-IR,Metabolic Syndrome,38.7937518,10,Cycling,0.33024071,-3.7895287,decrease
Diastolic Blood Pressure,Healthy,45.4039169,12,Running,-2.3157864,-0.9014473,increase
Body Mass,T2D,43.4661685,8,Cycling,6.37842486,-2.5310749,increase
Flow-mediated Dilation,T2D,52.0144568,7.5,Running,-3.048958,-3.2914469,decrease
Body Fat,Healthy,43.0685815,8,Running,-9.038335,0.42345324,increase
Triglycerides,T2D,51.4108103,5,Cycling,-0.874279,-3.7143303,decrease
VO2max,Overweight/obese,31.4944347,5,Cycling,7.61522512,-3.9885945,decrease
Diastolic Blood Pressure,Cardiac Rehabilitation,20.5150535,5,Running,2.42837713,-2.1106519,increase
C-reactive Protein,Healthy,57.7089901,6,Running,-1.0473937,-1.1291118,increase
Triglycerides,Cardiac Rehabilitation,44.6112626,12,Cycling,2.07710422,-4.1400377,decrease
Fasting Insulin,Metabolic Syndrome,38.7955148,10,Running,4.07469202,12.050235,decrease
Diastolic Blood Pressure,Metabolic Syndrome,26.6933242,5,Cycling,-6.0494578,1.04233466,decrease
LDL,Overweight/obese,26.6312501,6,Running,-8.2145938,-0.1335105,decrease
Flow-mediated Dilation,Metabolic Syndrome,32.9917457,8,Cycling,-2.9501711,-1.0502091,decrease
Total Cholesterol,T2D,47.3992374,6,Running,-0.8544023,0.74259633,decrease
Body Mass,Overweight/obese,39.6749747,12,Running,-2.3956806,-7.0465649,decrease
C-reactive Protein,T2D,69.7090548,12,Running,3.81717254,-3.6499986,increase
Systolic Blood Pressure,Overweight/obese,41.9822783,15,Running,4.86942344,-5.7541575,decrease
HbA1c,Overweight/obese,31.4158821,6,Cycling,-5.3849112,0.33191644,increase
HDL,T2D,46.2915852,8,Running,3.37779532,4.32710656,decrease
HbA1c,Cardiac Rehabilitation,48.3071416,7.5,Running,1.523789,-0.0589146,decrease
BMI,T2D,52.7821458,7,Cycling,-8.639715,1.38647577,increase
Diastolic Blood Pressure,Overweight/obese,58.5860607,15,Running,5.19439089,-5.7647766,increase
HDL,Metabolic Syndrome,20.2706454,10,Cycling,5.09275638,0.72484781,decrease
HbA1c,Cardiac Rehabilitation,49.7501612,5,Cycling,-4.7580373,-13.685833,increase
Body Fat,Healthy,54.8737809,7.5,Running,-4.0580758,1.0104813,decrease
HDL,Metabolic Syndrome,50.246889,7.5,Cycling,0.51668465,0.50024431,increase
Triglycerides,Overweight/obese,39.6882324,10,Cycling,-2.9117933,-8.6809002,decrease
Total Cholesterol,Healthy,42.1510785,12,Running,4.0567842,-0.0119196,increase
Body Mass,Cardiac Rehabilitation,57.0599904,16,Cycling,0.15038096,8.16091965,increase
Systolic Blood Pressure,Healthy,38.1451675,7,Cycling,-4.1206926,-14.503318,increase
Fasting Glucose,T2D,30.0102065,5,Running,9.0235226,2.40805802,increase
Body Fat,Metabolic Syndrome,26.5226885,5,Cycling,-0.7723244,-5.0796129,decrease
Total Cholesterol,T2D,34.6313494,8,Cycling,3.20453119,-0.9854486,decrease
HDL,Metabolic Syndrome,84.0326679,7,Cycling,-3.9968293,-4.2403451,increase
HbA1c,Cardiac Rehabilitation,46.5571571,2,Running,-5.9271268,2.14868848,decrease
Fasting Insulin,Healthy,59.6114961,7.5,Running,5.59294166,6.49455639,increase
Body Mass,Overweight/obese,40.2304626,6,Cycling,-5.5131173,2.34475595,increase
Flow-mediated Dilation,Healthy,39.9319829,7.5,Cycling,-8.3973539,5.82049888,decrease
Triglycerides,Healthy,38.4068966,5,Cycling,-9.5115518,-0.5724265,increase
Diastolic Blood Pressure,Cardiac Rehabilitation,41.6933716,10,Running,10.0709135,-9.3809299,decrease
Fasting Glucose,Overweight/obese,32.6153348,7.5,Running,1.93366173,-2.1669799,decrease
Fasting Insulin,Metabolic Syndrome,68.821452,7,Running,4.92750687,-7.7333848,increase
Body Mass,Metabolic Syndrome,21.5093877,8,Cycling,-4.6632937,-5.7377982,decrease
Fasting Insulin,T2D,34.5119735,4,Running,3.89217277,-14.179962,decrease
Body Mass,Healthy,31.4681969,15,Cycling,-2.368511,-10.012961,decrease
C-reactive Protein,Metabolic Syndrome,63.616402,16,Cycling,5.07800358,-1.7686975,decrease
Body Mass,T2D,59.2824225,10,Cycling,4.38872017,-2.8585688,increase
HbA1c,Overweight/obese,43.193463,8,Cycling,7.27383024,4.17822209,increase
Systolic Blood Pressure,Cardiac Rehabilitation,55.1642791,4,Running,-7.1017991,-9.4448119,decrease
BMI,Overweight/obese,35.6672874,4,Cycling,11.701895,-4.5910915,decrease
Diastolic Blood Pressure,Metabolic Syndrome,42.9624525,5,Running,-1.4627061,-16.569675,increase
Flow-mediated Dilation,Healthy,37.3198086,24,Running,2.58386463,2.00193531,decrease
LDL,Overweight/obese,67.0004833,5,Cycling,-0.8047816,2.76640444,decrease
Triglycerides,Overweight/obese,32.3857017,16,Cycling,1.5229636,5.02811746,decrease
VO2max,Healthy,39.1563405,2,Running,0.76381196,-0.5828074,decrease
BMI,Metabolic Syndrome,54.1735795,5,Cycling,-4.0793824,6.43216475,increase
HbA1c,T2D,45.3673649,7,Running,-2.306975,-6.3805601,increase
LDL,T2D,29.1384769,12,Running,-3.301293,-2.498093,increase
Total Cholesterol,Overweight/obese,35.4827315,5,Running,1.08129744,-7.877282,decrease
Systolic Blood Pressure,Healthy,66.3510252,6,Running,6.43126045,-0.917029,decrease
HDL,Overweight/obese,47.5271983,5,Cycling,9.49952682,-2.0299628,increase
Body Fat,Overweight/obese,50.8537811,24,Running,-2.648711,-6.1480293,decrease
HbA1c,Cardiac Rehabilitation,18.7274554,5,Running,0.66842975,4.33172633,decrease
C-reactive Protein,Cardiac Rehabilitation,62.1493824,24,Running,-1.5490479,-6.2449917,increase
VO2max,Healthy,31.472285,7.5,Running,5.24402189,3.8653831,increase
Diastolic Blood Pressure,Metabolic Syndrome,52.787012,8,Cycling,-3.5190727,8.57373077,decrease
VO2max,T2D,62.6367658,6,Running,5.60266168,-2.4644846,decrease
Flow-mediated Dilation,Overweight/obese,47.7551447,2,Running,-1.6088262,1.44929796,decrease
HOMA-IR,Overweight/obese,38.9959061,5,Cycling,-1.829394,-7.0311388,decrease
HOMA-IR,Healthy,29.0953031,24,Cycling,-3.3408322,-3.3001931,increase
HbA1c,Overweight/obese,39.2032622,5,Cycling,2.14913972,1.16736634,increase
Triglycerides,Overweight/obese,74.6075329,6,Running,4.78653888,3.71335277,increase
HDL,Overweight/obese,5.92207447,16,Cycling,-10.167167,-9.1171017,increase
Flow-mediated Dilation,Healthy,22.7527023,5,Cycling,-5.5756465,1.24522777,increase
C-reactive Protein,Overweight/obese,46.4576153,10,Cycling,7.25430432,-3.0694002,increase
Body Fat,T2D,60.5425402,7,Cycling,10.6170418,-2.2249449,increase
Triglycerides,Cardiac Rehabilitation,33.6829545,4,Cycling,-2.1174999,3.27419875,decrease
HbA1c,Metabolic Syndrome,24.4485169,7.5,Running,0.35836076,-1.4996947,decrease
Body Mass,Overweight/obese,54.2095145,16,Running,-3.9954737,-3.3612897,increase
HOMA-IR,Metabolic Syndrome,22.8585642,7,Cycling,9.58074481,-0.1465686,decrease
Systolic Blood Pressure,Healthy,52.1785279,10,Cycling,5.5657505,-3.8272601,decrease
Total Cholesterol,Overweight/obese,55.2245925,16,Running,2.85034719,-1.9142809,decrease
BMI,Healthy,27.5706819,8,Running,5.72938184,-0.1137671,decrease
Triglycerides,T2D,58.6912679,10,Cycling,-7.4382432,9.70664554,decrease
HbA1c,T2D,42.5003881,7.5,Running,-0.1453472,1.28209959,increase
Systolic Blood Pressure,T2D,61.8695097,5,Cycling,-5.0304934,0.16480662,decrease
Body Fat,Metabolic Syndrome,26.825546,5,Running,-0.691803,-4.2509443,decrease
Total Cholesterol,T2D,45.6334389,16,Cycling,-2.2979409,-1.8062298,increase
Triglycerides,Cardiac Rehabilitation,27.1199076,4,Running,6.66642161,3.01447539,decrease
LDL,Cardiac Rehabilitation,24.0679875,8,Cycling,-12.765071,5.29100038,increase
Triglycerides,Overweight/obese,50.6051856,24,Cycling,-7.7911826,-3.0517354,increase
Body Mass,Metabolic Syndrome,66.5334198,15,Running,2.20962721,1.26924711,decrease
Diastolic Blood Pressure,Overweight/obese,40.2355875,5,Running,-0.311203,3.1027188,increase
Flow-mediated Dilation,Healthy,46.1999105,4,Cycling,7.79934138,2.69331996,decrease
Total Cholesterol,Overweight/obese,62.6401664,7.5,Running,-9.1316502,-6.6721904,decrease
Flow-mediated Dilation,Metabolic Syndrome,60.9643711,7.5,Cycling,1.05882718,-4.013824,decrease
Body Mass,Metabolic Syndrome,49.6880538,24,Running,2.04438255,4.4576821,increase
Body Fat,Metabolic Syndrome,43.7680371,10,Cycling,-3.616212,9.27136922,increase
Fasting Insulin,Metabolic Syndrome,38.8660836,4,Running,1.67774025,-5.0911159,increase
Fasting Glucose,Healthy,40.9546523,12,Cycling,-10.758648,1.77002524,decrease
Diastolic Blood Pressure,Healthy,45.4887201,5,Cycling,-5.773139,2.73891438,increase
VO2max,T2D,7.34688142,24,Running,2.81300349,9.61576298,increase
HbA1c,T2D,35.8009489,7.5,Cycling,5.25592042,-1.0319875,decrease
LDL,Cardiac Rehabilitation,34.5599315,7,Cycling,5.25311366,-7.9489962,decrease
Fasting Insulin,Overweight/obese,22.1571326,12,Running,3.20449099,-3.2975194,decrease
HOMA-IR,Cardiac Rehabilitation,43.4487063,10,Running,-0.2818611,-2.7269086,increase
Total Cholesterol,Metabolic Syndrome,29.3764073,8,Cycling,-7.2585074,-4.5340273,decrease
Flow-mediated Dilation,Healthy,64.3277872,16,Cycling,7.57267174,3.5902422,decrease
LDL,Metabolic Syndrome,27.0284328,7,Running,-0.4017953,2.72935147,increase
BMI,Healthy,53.7319333,7,Cycling,5.03596616,13.7140714,increase
HbA1c,T2D,22.3460635,6,Running,-0.0113848,4.49619823,increase
Diastolic Blood Pressure,Overweight/obese,22.9540632,7.5,Cycling,-8.7387783,4.89837437,increase
Body Mass,Metabolic Syndrome,32.9324865,4,Cycling,5.27733375,-2.8866622,decrease
HDL,Metabolic Syndrome,71.8851331,2,Cycling,-2.6752962,-8.3755017,increase
HDL,Cardiac Rehabilitation,28.183866,5,Running,-5.5994398,-11.007275,decrease
Systolic Blood Pressure,T2D,30.1281656,10,Running,-0.3932949,3.76133183,increase
C-reactive Protein,Cardiac Rehabilitation,50.7808705,4,Cycling,-1.1795417,7.27059202,decrease
Body Fat,Metabolic Syndrome,46.7447444,4,Running,4.3808547,6.51679583,increase
HbA1c,Cardiac Rehabilitation,43.516985,7.5,Cycling,-5.3011101,-12.402185,decrease
Diastolic Blood Pressure,Overweight/obese,61.4779309,6,Cycling,0.21365877,-3.8922536,increase
Fasting Insulin,Overweight/obese,33.1193527,6,Cycling,-3.6470169,-9.7406238,increase
VO2max,Cardiac Rehabilitation,58.7382281,4,Running,-0.8611408,2.66834664,decrease
C-reactive Protein,Overweight/obese,23.0804022,10,Cycling,-4.039023,2.38640094,increase
Fasting Glucose,Overweight/obese,71.5096439,4,Running,5.22612872,-4.9670748,decrease
Total Cholesterol,Healthy,36.5454455,6,Running,-4.5719374,-10.180993,decrease
Systolic Blood Pressure,T2D,46.6843058,8,Running,-4.2520807,-5.721512,decrease
HDL,T2D,32.3733479,5,Cycling,-7.8944957,-2.6090595,decrease
Body Fat,T2D,56.3953422,16,Running,-2.0984632,8.76756135,increase
C-reactive Protein,T2D,61.4752404,12,Running,-1.9922249,8.35176137,decrease
Fasting Glucose,Healthy,57.0511858,10,Cycling,2.16985825,2.77882927,increase
Total Cholesterol,Metabolic Syndrome,49.3896097,24,Cycling,-6.347725,-3.3877498,decrease
Flow-mediated Dilation,Healthy,50.0364298,12,Running,-13.317318,-4.8944179,increase
Diastolic Blood Pressure,Cardiac Rehabilitation,53.0934122,24,Cycling,7.67554944,-1.9226442,increase
Total Cholesterol,T2D,14.5601126,7.5,Cycling,-12.673075,9.18642101,decrease
Fasting Glucose,Overweight/obese,76.704469,12,Cycling,-0.3758931,-9.4874989,decrease
VO2max,T2D,57.9426518,16,Cycling,-13.578211,3.50461354,decrease
HDL,T2D,63.0647424,24,Cycling,-2.7337724,-2.58804,increase
LDL,Overweight/obese,35.3009902,2,Cycling,4.8989636,-4.5772239,decrease
HDL,Metabolic Syndrome,5.91314961,10,Running,-2.105422,3.62669048,increase
Body Mass,T2D,31.3402549,5,Cycling,-1.3124051,0.96914486,increase
Fasting Insulin,T2D,44.6487833,7,Running,-1.9267529,-15.599805,increase
HOMA-IR,T2D,35.6854277,6,Running,1.79827688,-2.6794364,increase
