study,endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT,desired_effect
Maillard 2016,Fasting Glucose,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0.3,0.4,decrease
Maillard 2016,HbA1c,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-0.1,-0.2,decrease
Maillard 2016,HDL,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0.1,0.1,increase
Maillard 2016,LDL,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0.1,-0.2,decrease
Maillard 2016,Total Cholesterol,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-0.1,-0.2,decrease
Maillard 2016,Triglycerides,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0,-0.1,decrease
Martins 2016,Body Mass,Overweight/obese,30 - 50 y,12,> 10 weeks,0.5,< 0.5,Cycling,-1.3,-0.8,decrease
Martins 2016,VO2max,Overweight/obese,30 - 50 y,12,> 10 weeks,0.5,< 0.5,Cycling,2.8,2.9,increase
Matsuo 2014,BMI,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,0.1,-0.3,decrease
Matsuo 2014,Body Fat,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,-0.2,-1.1,decrease
Matsuo 2014,Body Mass,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,0.2,-0.9,decrease
Matsuo 2014,Diastolic Blood Pressure,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,-6,-3,decrease
Matsuo 2014,Systolic Blood Pressure,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,-3,-2,decrease
Matsuo 2014,VO2max,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,8.6,5.4,increase
Matsuo 2015,Body Fat,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-0.6,-0.4,decrease
Matsuo 2015,Body Mass,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-0.9,-0.9,decrease
Matsuo 2015,Diastolic Blood Pressure,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-2,1,decrease
Matsuo 2015,Fasting Glucose,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-3,-8,decrease
Matsuo 2015,Fasting Insulin,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-2.6,-2.5,decrease
Matsuo 2015,HbA1c,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-1,-2,decrease
Matsuo 2015,HDL,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,3,3,increase
Matsuo 2015,HOMA-IR,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-1,-1.2,decrease
Matsuo 2015,LDL,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,5,0,decrease
Matsuo 2015,Systolic Blood Pressure,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,1,2,decrease
Matsuo 2015,Total Cholesterol,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,2,4,decrease
Matsuo 2015,Triglycerides,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-28,-2,decrease
Matsuo 2015,VO2max,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,7,4.4,increase
Mitranun 2014,BMI,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-1.1,-0.2,decrease
Mitranun 2014,Body Fat,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-2.2,-2.6,decrease
Mitranun 2014,Body Mass,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-2.1,-0.5,decrease
Mitranun 2014,Diastolic Blood Pressure,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,2,0,decrease
Mitranun 2014,Fasting Glucose,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-1.05,-0.99,decrease
Mitranun 2014,Flow-mediated Dilation,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,2,1.3,increase
Mitranun 2014,HDL,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,0.31,0.08,increase
Mitranun 2014,HOMA-IR,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.6,-0.5,decrease
Mitranun 2014,LDL,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.73,-0.57,decrease
Mitranun 2014,Systolic Blood Pressure,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-12,-5,decrease
Mitranun 2014,Total Cholesterol,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.49,-0.1,decrease
Mitranun 2014,Triglycerides,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,-0.2,-0.06,decrease
Mitranun 2014,VO2max,T2D,> 50 y,10,5 - 10 weeks,0.35714286,< 0.5,Running,6.1,3.3,increase
Molmen-Hansen 2011,Diastolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,-8.5,-4,decrease
Molmen-Hansen 2011,Flow-mediated Dilation,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,4.17,0.61,increase
Molmen-Hansen 2011,Systolic Blood Pressure,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,-13,-5,decrease
Molmen-Hansen 2011,VO2max,Overweight/obese,> 50 y,12,> 10 weeks,0.5462963,> 0.5,Running,5.2,1.8,increase
Moreira 2008,BMI,Overweight/obese,30 - 50 y,12,> 10 weeks,0.36,< 0.5,Cycling,-0.4,-0.4,decrease
Moreira 2008,Body Fat,Overweight/obese,30 - 50 y,12,> 10 weeks,0.36,< 0.5,Cycling,-0.6,-0.9,decrease
Moreira 2008,Body Mass,Overweight/obese,30 - 50 y,12,> 10 weeks,0.36,< 0.5,Cycling,-1.2,-1.3,decrease
Motiani 2017,BMI,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,0,decrease
Motiani 2017,Body Fat,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1,-0.8,decrease
Motiani 2017,Fasting Glucose,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.1,-0.1,decrease
Motiani 2017,Fasting Insulin,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.4,0.2,decrease
Motiani 2017,HbA1c,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1.3,-3.1,decrease
Motiani 2017,HDL,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.1,increase
Motiani 2017,LDL,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.6,-0.2,decrease
Motiani 2017,Total Cholesterol,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.7,-0.3,decrease
Motiani 2017,Triglycerides,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.05,-0.16,decrease
Motiani 2017,VO2max,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,2,1,increase
Nalcakan 2014,BMI,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-0.2,-0.3,decrease
Nalcakan 2014,Body Fat,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-1.2,-0.9,decrease
Nalcakan 2014,Body Mass,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-0.5,-0.9,decrease
Nalcakan 2014,C-reactive Protein,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,0.32,-1.15,decrease
Nalcakan 2014,HDL,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,1.5,-0.7,increase
Nalcakan 2014,LDL,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,7,0.8,decrease
Nalcakan 2014,Total Cholesterol,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-2,2,decrease
Nalcakan 2014,Triglycerides,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-7,7,decrease
Nalcakan 2014,VO2max,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,2.8,3.5,increase
Nie 2017,BMI,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-1.5,-1.7,decrease
Nie 2017,Body Fat,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-1.9,-1.7,decrease
Nie 2017,Body Mass,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-3.9,-4.2,decrease
Nie 2017,VO2max,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,4.1,3.8,increase
O’Leary 2018,VO2max,Healthy,< 30 y,6,5 - 10 weeks,0.8,> 0.5,Cycling,0.28,0.29,increase
Ramos 2016a,Body Fat,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-0.5,-0.4,decrease
Ramos 2016a,Body Mass,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-1,-1,decrease
Ramos 2016a,Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-4,-5,decrease
Ramos 2016a,Fasting Glucose,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,0.1,-0.4,decrease
Ramos 2016a,Fasting Insulin,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-15,-25,decrease
Ramos 2016a,HbA1c,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,0.2,-1.2,decrease
Ramos 2016a,HDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,0.08,0.08,increase
Ramos 2016a,HOMA-IR,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-0.3,-0.5,decrease
Ramos 2016a,Systolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-2,-7,decrease
Ramos 2016a,Triglycerides,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-0.13,-0.11,decrease
Ramos 2016a,VO2max,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,3.6,0.8,increase
Ramos 2016b,BMI,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-1,0,decrease
Ramos 2016b,Body Fat,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-1.02,-0.42,decrease
Ramos 2016b,Body Mass,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-3,0,decrease
Ramos 2016b,Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-9,-6,decrease
Ramos 2016b,Fasting Glucose,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-0.17,-0.37,decrease
Ramos 2016b,HDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,0,0.03,increase
Ramos 2016b,LDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,0.41,0.06,decrease
Ramos 2016b,Systolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-1,-9,decrease
Ramos 2016b,Total Cholesterol,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,0.42,0,decrease
Ramos 2016b,Triglycerides,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-0.16,-0.02,decrease
Ramos 2016b,VO2max,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,4.35,0.8,increase
Robinson 2015,BMI,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,-0.3,-0.1,decrease
Robinson 2015,Body Mass,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,-0.7,-1.4,decrease
Robinson 2015,Fasting Glucose,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,0.1,-0.3,decrease
Robinson 2015,Fasting Insulin,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,-0.6,0.8,decrease
Robinson 2015,HOMA-IR,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,0,0.1,decrease
Robinson 2015,VO2max,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,1.5,1.5,increase
Rognmo 2004,Body Mass,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,-0.1,-0.8,decrease
Rognmo 2004,Diastolic Blood Pressure,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,1,0,decrease
Rognmo 2004,Systolic Blood Pressure,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,-3,-1,decrease
Rognmo 2004,VO2max,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,6,2.7,increase
Sandvei 2012,BMI,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.2,-0.1,decrease
Sandvei 2012,Body Fat,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.2,-0.5,decrease
Sandvei 2012,Body Mass,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.4,-0.6,decrease
Sandvei 2012,Fasting Glucose,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.2,-0.2,decrease
Sandvei 2012,Fasting Insulin,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,0.3,-4.1,decrease
Sandvei 2012,HDL,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,0,-0.1,increase
Sandvei 2012,HOMA-IR,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,0,-0.1,decrease
Sandvei 2012,LDL,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.3,0,decrease
Sandvei 2012,Total Cholesterol,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.3,-0.1,decrease
Sandvei 2012,Triglycerides,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.07,0.07,decrease
Sandvei 2012,VO2max,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,2.6,1.8,increase
Sawyer 2016,BMI,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,0,0,decrease
Sawyer 2016,Body Fat,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-0.8,-0.3,decrease
Sawyer 2016,Body Mass,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-0.1,0,decrease
Sawyer 2016,C-reactive Protein,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,0.5,0.4,decrease
Sawyer 2016,Fasting Glucose,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-3,2.4,decrease
Sawyer 2016,Fasting Insulin,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-2.2,-2.3,decrease
Sawyer 2016,Flow-mediated Dilation,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,3.8,-0.4,increase
Sawyer 2016,HDL,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,1,-0.7,increase
Sawyer 2016,HOMA-IR,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-0.6,-0.5,decrease
Sawyer 2016,LDL,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,4.9,2.6,decrease
Sawyer 2016,Total Cholesterol,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,5,4.8,decrease
Sawyer 2016,Triglycerides,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-3.2,23.6,decrease
Sawyer 2016,VO2max,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,4.1,3.1,increase
Scribbans 2014,Body Mass,Healthy,< 30 y,6,5 - 10 weeks,0.7,> 0.5,Cycling,0,0,decrease
Scribbans 2014,VO2max,Healthy,< 30 y,6,5 - 10 weeks,0.7,> 0.5,Cycling,6.6,7,increase
Shepherd 2013,BMI,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0,0,decrease
Shepherd 2013,Body Mass,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0.1,0,decrease
Shepherd 2013,VO2max,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,3.2,6.5,increase
Sjöros 2018,BMI,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-0.2,-0.2,decrease
Sjöros 2018,Body Fat,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-1,-0.9,decrease
Sjöros 2018,Body Mass,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-0.5,-0.4,decrease
Sjöros 2018,Fasting Glucose,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-0.1,0.2,decrease
Sjöros 2018,Fasting Insulin,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,0.1,0.3,decrease
Sjöros 2018,HbA1c,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-1.8,-2,decrease
Sjöros 2018,VO2max,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,1.3,-0.1,increase
Skleryk 2013,BMI,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0,0,decrease
Skleryk 2013,Body Fat,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1.1,0.1,decrease
Skleryk 2013,Diastolic Blood Pressure,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-3,-1,decrease
Skleryk 2013,Fasting Glucose,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0.16,-0.34,decrease
Skleryk 2013,Fasting Insulin,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0.24,0.21,decrease
Skleryk 2013,HOMA-IR,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0.15,-0.12,decrease
Skleryk 2013,Systolic Blood Pressure,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1,0,decrease
Skleryk 2013,VO2max,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.4,0,increase
Tjønna 2008,BMI,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-0.7,-1.2,decrease
Tjønna 2008,Body Mass,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-2.3,-3.6,decrease
Tjønna 2008,Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-6,-6,decrease
Tjønna 2008,Fasting Glucose,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-0.3,0.4,decrease
Tjønna 2008,Fasting Insulin,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,2,1.3,decrease
Tjønna 2008,Flow-mediated Dilation,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,10.32,5.81,increase
Tjønna 2008,HDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,0.15,0.06,increase
Tjønna 2008,Systolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-9,-10,decrease
Tjønna 2008,Triglycerides,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,0.05,0.2,decrease
Tjønna 2008,VO2max,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,11.7,5.6,increase
Trapp 2008,Body Fat,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-2.7,0.6,decrease
Trapp 2008,Body Mass,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-1.5,-0.1,decrease
Trapp 2008,Fasting Glucose,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-0.2,-0.1,decrease
Trapp 2008,Fasting Insulin,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-6,-1,decrease
Trapp 2008,HOMA-IR,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-1.2,-0.3,decrease
Trapp 2008,VO2max,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,7.6,6,increase
Wegmann 2018,Diastolic Blood Pressure,Healthy,30 - 50 y,24,> 10 weeks,0.37,< 0.5,Running,-2,-1,decrease
Wegmann 2018,Systolic Blood Pressure,Healthy,30 - 50 y,24,> 10 weeks,0.37,< 0.5,Running,1,4,decrease
Winn 2018,BMI,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-0.1,-0.3,decrease
Winn 2018,Body Fat,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,0.4,-0.1,decrease
Winn 2018,Body Mass,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-0.3,-1,decrease
Winn 2018,Fasting Glucose,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-3,-21.4,decrease
Winn 2018,Fasting Insulin,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,0.5,-7.5,decrease
Winn 2018,HDL,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,3.4,-1.4,increase
Winn 2018,HOMA-IR,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,0.02,-3.3,decrease
Winn 2018,LDL,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-10.7,-0.5,decrease
Winn 2018,Total Cholesterol,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-3,-2.4,decrease
Winn 2018,Triglycerides,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,22.1,-2.6,decrease
Winn 2018,VO2max,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-0.2,0.1,increase
Wisløff 2007,VO2max,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.22,< 0.5,Running,6,1.9,increase
Zapata-Lamana 2018,Body Mass,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-0.4,-1.9,decrease
Zapata-Lamana 2018,Fasting Glucose,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-3.3,-4.1,decrease
Zapata-Lamana 2018,Fasting Insulin,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-0.9,-2,decrease
Zapata-Lamana 2018,HDL,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-3.9,-1,increase
Zapata-Lamana 2018,LDL,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-7.2,-9.4,decrease
Zapata-Lamana 2018,Total Cholesterol,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-7.6,-7.9,decrease
Zapata-Lamana 2018,Triglycerides,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,4,-5.6,decrease
