endpoint,population,age,duration,type_exercise,Mean_HIIE,Mean_MICT,desired_effect,bsln
HbA1c,T2D,49,2,Cycling,-1.8,-2,decrease,39.15
VO2max,T2D,49,2,Cycling,1.3,-0.1,increase,26.35
BMI,Overweight/obese,38.7,2,Cycling,0,0,decrease,33.7
Body Fat,Overweight/obese,38.7,2,Cycling,-1.1,0.1,decrease,30.25
Diastolic Blood Pressure,Overweight/obese,38.7,2,Cycling,-3,-1,decrease,89.5
Fasting Glucose,Overweight/obese,38.7,2,Cycling,0.16,-0.34,decrease,6.93
Fasting Insulin,Overweight/obese,38.7,2,Cycling,0.24,0.21,decrease,10.065
HOMA-IR,Overweight/obese,38.7,2,Cycling,0.15,-0.12,decrease,3.075
Systolic Blood Pressure,Overweight/obese,38.7,2,Cycling,-1,0,decrease,140.5
VO2max,Overweight/obese,38.7,2,Cycling,-0.4,0,increase,28
BMI,Metabolic Syndrome,53.7,16,Running,-0.7,-1.2,decrease,29.6
Body Mass,Metabolic Syndrome,53.7,16,Running,-2.3,-3.6,decrease,91.5
Diastolic Blood Pressure,Metabolic Syndrome,53.7,16,Running,-6,-6,decrease,91.5
Fasting Glucose,Metabolic Syndrome,53.7,16,Running,-0.3,0.4,decrease,6.5
Fasting Insulin,Metabolic Syndrome,53.7,16,Running,2,1.3,decrease,107.7
Flow-mediated Dilation,Metabolic Syndrome,53.7,16,Running,10.32,5.81,increase,3.645
HDL,Metabolic Syndrome,53.7,16,Running,0.15,0.06,increase,0.715
Systolic Blood Pressure,Metabolic Syndrome,53.7,16,Running,-9,-10,decrease,137.5
Triglycerides,Metabolic Syndrome,53.7,16,Running,0.05,0.2,decrease,1.56
VO2max,Metabolic Syndrome,53.7,16,Running,11.7,5.6,increase,34.8
Body Fat,Healthy,21.7,15,Cycling,-2.7,0.6,decrease,33.4
Body Mass,Healthy,21.7,15,Cycling,-1.5,-0.1,decrease,61.55
Fasting Glucose,Healthy,21.7,15,Cycling,-0.2,-0.1,decrease,4.2
Fasting Insulin,Healthy,21.7,15,Cycling,-6,-1,decrease,15.25
HOMA-IR,Healthy,21.7,15,Cycling,-1.2,-0.3,decrease,2.9
VO2max,Healthy,21.7,15,Cycling,7.6,6,increase,29.85
Diastolic Blood Pressure,Healthy,48.5,24,Running,-2,-1,decrease,84
Systolic Blood Pressure,Healthy,48.5,24,Running,1,4,decrease,128
BMI,Overweight/obese,43.5,4,Running,-0.1,-0.3,decrease,37.05
Body Fat,Overweight/obese,43.5,4,Running,0.4,-0.1,decrease,41.35
Body Mass,Overweight/obese,43.5,4,Running,-0.3,-1,decrease,102.05
Fasting Glucose,Overweight/obese,43.5,4,Running,-3,-21.4,decrease,5.33632501
Fasting Insulin,Overweight/obese,43.5,4,Running,0.5,-7.5,decrease,17
HDL,Overweight/obese,43.5,4,Running,3.4,-1.4,increase,1.17746114
HOMA-IR,Overweight/obese,43.5,4,Running,0.02,-3.3,decrease,4.75
LDL,Overweight/obese,43.5,4,Running,-10.7,-0.5,decrease,2.69818653
Total Cholesterol,Overweight/obese,43.5,4,Running,-3,-2.4,decrease,4.55829016
Triglycerides,Overweight/obese,43.5,4,Running,22.1,-2.6,decrease,1.41129944
VO2max,Overweight/obese,43.5,4,Running,-0.2,0.1,increase,23.85
VO2max,Cardiac Rehabilitation,75.45,12,Running,6,1.9,increase,13
Body Mass,Overweight/obese,23.3,12,Cycling,-0.4,-1.9,decrease,83.6
Fasting Glucose,Overweight/obese,23.3,12,Cycling,-3.3,-4.1,decrease,4.94505
Fasting Insulin,Overweight/obese,23.3,12,Cycling,-0.9,-2,decrease,140.9835
HDL,Overweight/obese,23.3,12,Cycling,-3.9,-1,increase,1.41321244
LDL,Overweight/obese,23.3,12,Cycling,-7.2,-9.4,decrease,2.37694301
Total Cholesterol,Overweight/obese,23.3,12,Cycling,-7.6,-7.9,decrease,4.37694301
Triglycerides,Overweight/obese,23.3,12,Cycling,4,-5.6,decrease,1.21242938
